Topic,Count,Name,Top_Words
63,1,63_one_people_say_make,"one, people, say, make, know, time, general, well, source, also"
64,37,64_know_like_get_much,"know, like, get, much, want, problem, say, well, work, time"
65,6,65_algorithm_know_use_encryption,"algorithm, know, use, encryption, de, one, key, may, even, get"
66,8,66_use_window_run_thanks,"use, window, run, thanks, work, get, like, file, one, know"
67,2,67_people_think_like_say,"people, think, like, say, one, know, well, use, make, may"
68,3,68_one_get_time_know,"one, get, time, know, well, like, year, say, secretary, also"
69,0,69_know_like_please_thanks,"know, like, please, thanks, work, think, help, get, thing, problem"
70,1,70_thanks_please_get_one,"thanks, please, get, one, use, know, like, also, card, time"
71,19,71_time_get_one_like,"time, get, one, like, know, think, make, say, well, way"
72,2,72_get_sale_price_sell,"get, sale, price, sell, new, good, one, know, time, like"
73,51,73_car_one_engine_like,"car, one, engine, like, know, good, use, get, well, make"
74,1,74_get_well_one_like,"get, well, one, like, good, people, time, think, make, watch"
75,29,75_gun_say_one_crime,"gun, say, one, crime, law, get, people, government, know, use"
76,0,76_one_say_people_know,"one, say, people, know, think, god, make, even, time, many"
77,47,77_bike_ride_seat_like,"bike, ride, seat, like, park, helmet, one, use, get, rear"
78,74,78_baseball_game_season_team,"baseball, game, season, team, pitch, win, year, hit, like, well"
79,10,79_magazine_one_government_say,"magazine, one, government, say, time, also, article, number, news, like"
80,3,80_get_one_year_well,"get, one, year, well, money, make, even, think, like, good"
81,0,81_use_serial_work_board,"use, serial, work, board, one, sell, good, price, please, video"
82,1,82_think_one_son_also,"think, one, son, also, mother, get, say, child, use, know"
83,36,83_use_window_thanks_know,"use, window, thanks, know, one, like, get, want, run, help"
84,0,84_israeli_also_war_like,"israeli, also, war, like, people, day, army, make, year, one"
85,5,85_algorithm_one_post_know,"algorithm, one, post, know, use, thanks, like, first, try, also"
86,5,86_think_people_know_may,"think, people, know, may, make, come, want, good, god, believe"
87,47,87_use_ram_card_work,"use, ram, card, work, thanks, problem, window, get, board, one"
88,9,88_people_time_say_one,"people, time, say, one, israel, like, also, make, think, war"
89,1,89_use_like_one_many,"use, like, one, many, people, chemical, know, say, well, get"
90,0,90_color_use_thanks_like,"color, use, thanks, like, know, work, one, window, colour, way"
91,35,91_encryption_de_algorithm_nsa,"encryption, de, algorithm, nsa, secure, security, know, secret, get, use"
92,0,92_know_engine_get_car,"know, engine, get, car, one, like, work, use, year, new"
93,1,93_one_god_say_know,"one, god, say, know, people, even, think, well, thing, time"
94,13,94_space_shuttle_use_orbit,"space, shuttle, use, orbit, know, also, get, launch, mission, need"
95,4,95_use_work_one_like,"use, work, one, like, know, card, window, get, thanks, screen"
96,1,96_know_one_well_make,"know, one, well, make, say, like, god, time, want, take"
97,16,97_use_software_thanks_window,"use, software, thanks, window, run, like, find, know, get, one"
98,3,98_one_new_time_use,"one, new, time, use, also, know, get, make, year, astronomy"
99,0,99_use_one_know_get,"use, one, know, get, like, think, make, time, even, people"
100,0,100_one_get_like_use,"one, get, like, use, think, know, time, say, faq, post"
101,4,101_say_one_mean_use,"say, one, mean, use, may, get, think, like, make, know"
102,0,102_one_like_know_get,"one, like, know, get, use, also, well, think, please, time"
103,0,103_time_get_one_think,"time, get, one, think, know, say, make, like, even, also"
104,0,104_people_one_use_make,"people, one, use, make, even, get, know, say, like, think"
105,0,105_one_get_know_new,"one, get, know, new, well, use, like, time, say, good"
106,1,106_well_like_use_also,"well, like, use, also, make, one, know, think, get, car"
107,2,107_thanks_know_please_one,"thanks, know, please, one, post, much, say, thank, well, get"
108,0,108_well_say_think_one,"well, say, think, one, like, good, make, people, get, time"
109,4,109_one_get_people_know,"one, get, people, know, say, time, like, make, think, use"
110,2,110_get_like_know_think,"get, like, know, think, one, make, well, good, people, use"
111,0,111_know_like_please_get,"know, like, please, get, available, also, want, new, number, give"
112,7,112_one_know_use_get,"one, know, use, get, like, work, please, thanks, also, make"
113,0,113_justice_one_right_time,"justice, one, right, time, like, life, say, know, well, get"
114,0,114_get_use_one_know,"get, use, one, know, like, ram, time, problem, apple, please"
115,4,115_one_please_like_get,"one, please, like, get, know, good, use, price, thanks, new"
116,4,116_know_think_one_please,"know, think, one, please, get, people, time, well, like, make"
117,0,117_use_know_thanks_also,"use, know, thanks, also, one, say, video, please, time, make"
118,0,118_one_get_like_game,"one, get, like, game, good, even, well, think, know, make"
119,2,119_one_like_know_well,"one, like, know, well, time, get, make, people, use, year"
120,10,120_one_card_work_get,"one, card, work, get, like, know, use, well, make, try"
121,0,121_one_get_use_know,"one, get, use, know, say, like, think, also, make, please"
122,0,122_say_think_one_people,"say, think, one, people, like, make, know, even, well, way"
123,11,123_use_get_one_even,"use, get, one, even, want, know, like, key, well, clipper"
124,5,124_one_god_say_life,"one, god, say, life, many, believe, people, thing, read, know"
125,0,125_get_use_one_know,"get, use, one, know, good, well, work, time, make, like"
126,11,126_voltage_power_circuit_use,"voltage, power, circuit, use, one, output, get, need, supply, like"
127,5,127_thanks_please_know_get,"thanks, please, know, get, like, well, try, mail, much, email"
128,0,128_get_well_need_one,"get, well, need, one, cost, know, use, think, make, people"
129,12,129_get_one_like_good,"get, one, like, good, use, ride, look, way, well, behind"
130,1,130_use_one_get_time,"use, one, get, time, like, make, people, say, think, well"
131,5,131_good_use_like_make,"good, use, like, make, excellent, know, thanks, condition, one, want"
132,2,132_use_one_know_thanks,"use, one, know, thanks, get, please, time, also, like, year"
133,0,133_one_get_think_like,"one, get, think, like, make, time, know, people, say, well"
134,0,134_game_year_team_good,"game, year, team, good, well, one, like, know, get, think"
135,8,135_use_like_know_one,"use, like, know, one, also, get, work, thanks, much, make"
136,8,136_year_also_make_time,"year, also, make, time, one, people, armenian, like, turkish, well"
137,0,137_get_one_government_make,"get, one, government, make, know, even, like, gun, year, need"
138,0,138_one_say_get_make,"one, say, get, make, know, like, well, think, time, much"
139,1,139_please_email_thanks_mail,"please, email, thanks, mail, address, send, interested, know, reply, ask"
140,45,140_window_use_work_get,"window, use, work, get, run, thanks, do, card, one, windows"
141,7,141_use_one_like_know,"use, one, like, know, get, work, also, thanks, good, think"
142,5,142_one_get_know_like,"one, get, know, like, make, think, say, well, use, time"
143,25,143_team_game_season_year,"team, game, season, year, baseball, last, think, win, well, good"
144,0,144_use_like_problem_well,"use, like, problem, well, get, know, also, want, one, help"
145,11,145_know_also_use_one,"know, also, use, one, get, like, think, people, need, say"
146,5,146_use_window_thanks_get,"use, window, thanks, get, work, problem, like, program, know, run"
147,4,147_color_use_display_window,"color, use, display, window, graphic, screen, thanks, like, problem, run"
148,2,148_use_get_one_thanks,"use, get, one, thanks, like, know, please, also, make, work"
149,3,149_use_work_one_thanks,"use, work, one, thanks, know, get, problem, please, also, modem"
150,1,150_game_get_well_like,"game, get, well, like, one, time, make, good, year, think"
151,19,151_scsi_card_drive_controller,"scsi, card, drive, controller, work, use, one, know, thanks, hard"
152,7,152_one_get_know_use,"one, get, know, use, like, well, make, think, good, people"
153,12,153_one_fire_get_people,"one, fire, get, people, like, think, well, burn, time, know"
154,1,154_one_know_like_say,"one, know, like, say, god, make, get, well, think, time"
155,0,155_use_know_like_one,"use, know, like, one, think, thing, year, change, replace, time"
156,0,156_one_people_know_time,"one, people, know, time, think, even, god, mean, make, well"
157,4,157_use_one_know_like,"use, one, know, like, get, well, think, work, good, also"
158,0,158_know_commercial_number_time,"know, commercial, number, time, get, also, part, cost, use, please"
159,2,159_use_one_know_like,"use, one, know, like, good, time, final, take, please, picture"
160,0,160_well_like_time_one,"well, like, time, one, know, get, say, year, take, think"
161,4,161_islam_one_islamic_people,"islam, one, islamic, people, like, say, make, time, religious, religion"
162,20,162_spacecraft_space_orbit_mission,"spacecraft, space, orbit, mission, use, know, one, nasa, also, new"
163,0,163_know_one_think_say,"know, one, think, say, get, like, time, well, even, evidence"
164,0,164_people_know_say_one,"people, know, say, one, make, time, good, use, get, also"
165,5,165_one_also_use_get,"one, also, use, get, year, well, know, like, new, engineering"
166,1,166_think_say_one_people,"think, say, one, people, get, know, time, like, make, even"
167,9,167_get_know_make_say,"get, know, make, say, people, well, like, think, one, gun"
168,0,168_people_one_like_say,"people, one, like, say, get, time, think, make, know, well"
169,2,169_one_people_make_well,"one, people, make, well, last, know, say, think, also, leave"
170,1,170_get_say_one_think,"get, say, one, think, time, like, even, know, people, well"
171,7,171_one_make_say_get,"one, make, say, get, know, good, people, like, think, well"
172,0,172_david_kent_peter_michael,"david, kent, peter, michael, thanks, holland, randy, dean, hope, louis"
173,0,173_one_like_know_use,"one, like, know, use, well, mean, also, make, find, think"
174,0,174_one_like_make_know,"one, like, make, know, time, get, use, well, think, people"
175,4,175_use_like_window_get,"use, like, window, get, know, one, thanks, help, work, make"
176,0,176_say_god_people_make,"say, god, people, make, time, even, take, also, first, try"
177,2,177_use_know_one_make,"use, know, one, make, get, think, much, like, find, give"
178,0,178_game_team_get_win,"game, team, get, win, well, like, one, play, good, say"
179,8,179_phone_get_want_use,"phone, get, want, use, tap, voice, see, modem, clipper, new"
180,0,180_one_god_think_say,"one, god, think, say, good, people, make, know, time, well"
181,1,181_one_know_make_year,"one, know, make, year, time, way, get, even, people, think"
182,0,182_one_also_game_good,"one, also, game, good, like, team, time, well, think, say"
183,22,183_use_thanks_like_graphic,"use, thanks, like, graphic, one, know, program, need, make, get"
184,5,184_work_software_get_time,"work, software, get, time, one, run, machine, use, like, modem"
185,3,185_speed_performance_fast_faster,"speed, performance, fast, faster, well, one, get, much, think, slow"
186,3,186_like_one_well_know,"like, one, well, know, think, even, also, make, say, people"
187,0,187_one_get_time_know,"one, get, time, know, say, well, like, make, see, use"
188,0,188_know_one_get_like,"know, one, get, like, say, joke, time, good, well, people"
189,0,189_one_like_time_make,"one, like, time, make, think, know, say, well, use, also"
190,0,190_know_also_use_think,"know, also, use, think, one, like, make, get, say, time"
191,5,191_nsa_key_encryption_clipper,"nsa, key, encryption, clipper, use, even, government, think, one, get"
192,0,192_like_get_know_one,"like, get, know, one, well, make, also, time, work, think"
193,1,193_one_use_also_secretary,"one, use, also, secretary, government, know, get, washington, office, april"
194,0,194_say_time_know_one,"say, time, know, one, use, speak, well, make, like, world"
195,0,195_one_people_make_say,"one, people, make, say, use, know, law, even, well, get"
196,6,196_turkish_make_like_people,"turkish, make, like, people, one, war, armenian, road, time, world"
197,4,197_one_think_know_also,"one, think, know, also, make, people, like, even, well, get"
198,4,198_like_know_one_think,"like, know, one, think, get, people, make, use, well, say"
199,8,199_car_engine_like_know,"car, engine, like, know, get, use, also, one, think, drive"
200,3,200_one_use_also_thing,"one, use, also, thing, know, think, many, get, work, good"
201,3,201_one_make_government_get,"one, make, government, get, people, know, also, think, like, say"
202,3,202_say_know_well_people,"say, know, well, people, use, make, year, get, one, many"
203,7,203_eat_know_good_think,"eat, know, good, think, food, use, one, like, people, well"
204,2,204_sell_like_use_pay,"sell, like, use, pay, price, please, get, make, thanks, also"
205,0,205_price_sell_interested_know,"price, sell, interested, know, like, get, also, please, pay, sale"
206,0,206_well_time_much_get,"well, time, much, get, like, use, voltage, one, also, know"
207,2,207_time_get_like_think,"time, get, like, think, people, one, good, know, way, well"
208,3,208_one_know_get_use,"one, know, get, use, fbi, people, time, police, law, warrant"
209,0,209_one_god_say_christ,"one, god, say, christ, jesus, know, see, think, thing, believe"
210,0,210_one_use_like_think,"one, use, like, think, also, look, good, know, thing, try"
211,0,211_say_god_know_people,"say, god, know, people, like, make, get, time, many, think"
212,0,212_like_use_one_get,"like, use, one, get, know, make, say, well, also, time"
213,0,213_money_give_get_well,"money, give, get, well, people, time, help, one, make, think"
214,2,214_keyboard_also_know_use,"keyboard, also, know, use, window, thanks, make, like, one, get"
215,0,215_treatment_use_get_know,"treatment, use, get, know, much, disease, also, usually, patient, people"
216,0,216_one_know_good_time,"one, know, good, time, say, think, use, make, get, well"
217,0,217_get_know_encryption_time,"get, know, encryption, time, one, good, much, think, key, want"
218,7,218_one_jesus_god_christ,"one, jesus, god, christ, mean, people, church, bible, know, make"
219,21,219_one_get_know_well,"one, get, know, well, like, use, make, think, say, good"
220,0,220_new_know_use_good,"new, know, use, good, one, sure, son, like, get, think"
221,0,221_use_thanks_make_get,"use, thanks, make, get, know, like, one, good, please, also"
222,0,222_use_people_one_get,"use, people, one, get, make, like, say, even, think, year"
223,8,223_one_use_know_radio,"one, use, know, radio, time, get, like, make, also, good"
224,8,224_car_know_new_like,"car, know, new, like, use, one, well, engine, price, get"
225,0,225_make_one_like_get,"make, one, like, get, time, know, good, also, thanks, use"
226,0,226_one_time_know_new,"one, time, know, new, like, get, make, well, people, use"
227,5,227_one_know_film_good,"one, know, film, good, like, even, get, make, think, back"
228,2,228_use_one_get_like,"use, one, get, like, work, time, make, well, much, want"
229,8,229_one_price_good_offer,"one, price, good, offer, use, hotel, get, camera, tax, please"
230,0,230_get_one_say_people,"get, one, say, people, like, think, know, good, also, time"
231,0,231_one_know_thanks_post,"one, know, thanks, post, list, also, catalog, like, use, advance"
232,0,232_one_use_get_time,"one, use, get, time, like, know, think, way, take, also"
233,18,233_know_like_graphic_look,"know, like, graphic, look, use, good, run, library, way, need"
234,0,234_game_well_team_one,"game, well, team, one, like, year, good, last, say, season"
235,0,235_one_please_thanks_get,"one, please, thanks, get, post, time, know, think, group, people"
236,0,236_design_one_use_think,"design, one, use, think, like, know, get, well, need, time"
237,0,237_work_use_one_know,"work, use, one, know, well, get, also, like, problem, thanks"
238,1,238_car_use_know_one,"car, use, know, one, get, like, price, replace, drive, engine"
239,5,239_use_one_know_get,"use, one, know, get, like, make, also, say, time, find"
240,0,240_one_get_thing_make,"one, get, thing, make, want, use, think, like, know, back"
241,0,241_one_like_get_good,"one, like, get, good, use, know, also, time, need, think"
242,4,242_one_university_use_also,"one, university, use, also, well, know, new, time, like, contact"
243,4,243_government_use_one_right,"government, use, one, right, say, law, constitution, people, also, get"
244,1,244_get_say_well_one,"get, say, well, one, people, year, time, also, want, think"
245,0,245_use_work_modem_card,"use, work, modem, card, scsi, problem, also, like, internal, one"
246,0,246_one_flame_stuff_know,"one, flame, stuff, know, use, say, joke, like, people, get"
247,0,247_well_know_game_year,"well, know, game, year, say, think, make, good, one, season"
248,0,248_game_well_team_year,"game, well, team, year, get, time, think, play, one, much"
249,1,249_one_know_say_god,"one, know, say, god, people, like, think, get, make, marriage"
250,9,250_say_one_moral_morality,"say, one, moral, morality, thing, think, know, well, people, absolute"
251,0,251_one_get_time_know,"one, get, time, know, even, use, people, well, think, like"
252,1,252_get_know_team_one,"get, know, team, one, well, need, good, say, work, like"
253,11,253_use_get_one_please,"use, get, one, please, like, know, brand, time, work, printer"
254,10,254_get_one_also_well,"get, one, also, well, treatment, know, may, use, clinical, like"
255,4,255_one_know_think_say,"one, know, think, say, get, make, people, use, also, well"
256,0,256_people_turkish_make_war,"people, turkish, make, war, one, say, like, well, even, also"
257,2,257_one_say_know_people,"one, say, know, people, god, think, make, like, mean, word"
258,0,258_year_team_well_time,"year, team, well, time, season, game, first, think, say, good"
259,0,259_say_people_one_know,"say, people, one, know, make, get, think, thing, even, well"
260,12,260_one_work_use_drive,"one, work, use, drive, get, meg, also, machine, monitor, apple"
261,2,261_use_know_one_get,"use, know, one, get, like, please, see, time, thanks, work"
262,6,262_thanks_please_much_well,"thanks, please, much, well, people, get, know, one, like, good"
263,1,263_use_know_get_make,"use, know, get, make, one, time, well, think, like, year"
264,0,264_tom_rob_david_university,"tom, rob, david, university, thanks, robert, michael, holland, mike, peter"
265,0,265_thanks_one_much_good,"thanks, one, much, good, advice, well, get, people, say, thank"
266,0,266_thanks_thank_kent_advance,"thanks, thank, kent, advance, much, well, use, like, time, get"
267,1,267_people_chinese_think_say,"people, chinese, think, say, time, one, also, well, like, know"
268,0,268_get_use_one_know,"get, use, one, know, like, people, think, even, time, make"
269,1,269_game_team_play_year,"game, team, play, year, win, one, good, know, season, time"
270,0,270_get_good_think_people,"get, good, think, people, safety, enough, make, one, like, go"
271,3,271_use_one_well_think,"use, one, well, think, know, get, good, problem, test, time"
272,1,272_one_say_think_people,"one, say, think, people, make, know, like, well, also, even"
273,4,273_use_get_know_one,"use, get, know, one, video, like, even, work, also, good"
274,5,274_use_work_know_one,"use, work, know, one, get, like, also, well, please, time"
275,5,275_know_one_like_archive,"know, one, like, archive, make, use, may, well, nasa, survey"
276,0,276_use_one_get_old,"use, one, get, old, please, also, know, like, make, well"
277,0,277_god_one_people_say,"god, one, people, say, even, know, think, jesus, thing, mean"
278,1,278_death_say_see_think,"death, say, see, think, one, even, well, like, eternal, make"
279,0,279_thanks_please_get_one,"thanks, please, get, one, email, new, say, know, like, make"
280,0,280_one_use_also_people,"one, use, also, people, group, number, like, get, many, office"
281,0,281_one_know_make_also,"one, know, make, also, get, time, like, find, say, use"
282,3,282_game_well_make_time,"game, well, make, time, team, get, say, one, think, see"
283,0,283_like_well_one_try,"like, well, one, try, know, get, work, use, thanks, say"
284,3,284_game_team_good_well,"game, team, good, well, year, win, think, one, know, season"
285,1,285_one_like_time_know,"one, like, time, know, well, use, make, get, say, also"
286,11,286_use_work_also_like,"use, work, also, like, get, one, know, well, problem, need"
287,0,287_run_window_version_know,"run, window, version, know, new, like, use, good, well, one"
288,3,288_one_get_use_like,"one, get, use, like, well, think, know, good, thing, bike"
289,4,289_get_know_use_one,"get, know, use, one, people, make, like, well, year, think"
290,1,290_use_one_get_work,"use, one, get, work, also, like, well, know, thanks, problem"
291,0,291_one_know_also_like,"one, know, also, like, think, take, use, get, time, please"
292,0,292_one_like_get_thanks,"one, like, get, thanks, use, know, time, make, work, also"
293,5,293_science_thing_think_say,"science, thing, think, say, use, sense, one, human, people, know"
294,1,294_make_one_say_use,"make, one, say, use, think, know, people, like, also, time"
295,1,295_one_know_make_get,"one, know, make, get, well, use, like, time, please, also"
296,1,296_use_people_make_get,"use, people, make, get, year, also, one, arm, many, state"
297,0,297_please_use_like_make,"please, use, like, make, know, thanks, also, time, one, well"
298,4,298_use_modem_one_internal,"use, modem, one, internal, want, know, problem, help, like, get"
299,2,299_get_government_one_think,"get, government, one, think, know, clipper, encryption, key, people, public"
